"subject_id","trial","block","condition","stim1","size","position","gabor.contrast","response","expected_response","rt_gabor","max_speed","x_pos","y_pos","center_dist","total_dist","accuracy_gabor","avr_speed","move_start_time","OOZ_time","SDT","pressed_conf","conf","rt_conf","trial_start_time_rel2exp","exp_start_date"
1,35,2,"A",0,"big","up",0.043,"right","right",1.6163,102.891031145945,13.0356,7.5684,1.76696554125045,15.9472496198726,1,9.32578215681903,0.854485800000475,1.05482290000054,"hit","TL",2,1.0604,223494,NA
1,36,2,"A",90,"big","up",0.043,"right","left",2.2504,45.1222364521276,10.7313,7.4554,1.99888138482057,13.6206382278299,0,5.80642304294253,0.755829100000483,1.48582160000024,"FA","BL",1,1.023,228411,NA
1,37,2,"A",0,"small","up",0.043,"left","right",2.5513,84.6251295821209,-11.8834,8.9013,0.152734463562297,16.2484889680371,0,5.81951069290551,0.922586300000148,1.68912319999981,"miss","TL",3,2.9081,233827,NA
1,38,2,"A",0,"big","mid",0.043,"right","right",1.5505,76.5454921274388,13.5553,0,1.44473544215738,13.5582872988136,1,8.7423251769647,0.951921500000026,1.02150519999941,"hit","BL",4,1.5951,241428,NA
1,39,2,"A",90,"small","up",0.043,"left","left",2.6669,93.1479354419294,-12.0868,8.8561,0.168035049013825,17.5462961094061,1,5.6185572185449,1.65566179999951,1.80568799999946,"CR","TL",1,0.9253,246811,NA
1,40,2,"A",0,"small","down",0.043,"right","right",1.8163,61.337981698639,12.132,-9.195,0.235444579708651,15.4203460644644,1,8.38098632248974,0.885182400000303,1.02217680000012,"hit","BL",3,1.2067,252644,NA
1,41,2,"A",0,"big","up",0.043,"right","right",2.2675,57.1932831866578,11.4542,7.5684,1.53215653110009,13.8661896253506,1,6.05463108536435,1.53611079999973,1.65537940000013,"hit","BL",1,1.193,258011,NA
1,42,2,"A",0,"small","mid",0.043,"right","right",2.2494,42.5554293460472,15.0012,0.0452,0.0451990886302828,15.478717051342,1,6.66885008841638,0.672591900000043,1.21854840000015,"hit","BR",2,1.2616,263712,NA
1,43,2,"A",90,"big","down",0.043,"left","left",1.8167,66.949150036761,-10.0309,-8.9465,1.96983157278303,13.7368805639954,1,7.39872695872871,0.651977299999999,1.18520819999958,"CR","BL",2,1.0945,269561,NA
1,44,2,"A",0,"small","mid",0.043,"right","right",2.0992,50.2817535849942,14.7301,0.0678,0.278324253922134,14.7397188222797,1,7.01720867478015,1.0360940999999,1.22286859999986,"hit","TL",3,1.6274,274611,NA
